Account Number,First Name,Last Name,Mobile Number,Email,Balance,Date Opened,Status,Password Hash,Account Type
20217227,Manuel,Salazar,09398471886,manuelsalazar465@outlook.com,18823.96,2025-01-21 08:11:12,Suspended,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Savings
20213677,Teresa,Hernandez,09596348124,teresahernandez389@outlook.com,35031.77,2025-01-22 07:44:25,Suspended,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Business
20216168,Lourdes,Salazar,09530747414,lourdessalazar275@gmail.com,45700.24,2025-02-25 01:37:31,Suspended,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Savings
20228517,Rosario,Ang,09253407200,rosarioang272@yahoo.com,37376.95,2025-02-22 07:54:29,Suspended,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Savings
20224593,Arnold,Acosta,09248532577,arnoldacosta522@hotmail.com,37911.22,2025-03-25 14:30:54,Active,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Savings
20219935,Ricardo,Bautista,09193349856,ricardobautista605@hotmail.com,1974.96,2025-01-22 05:27:48,Inactive,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Savings
20219928,Alexander,Bautista,09550455977,alexanderbautista226@hotmail.com,15353.15,2025-03-26 09:36:59,Active,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Business
20225552,Luis,Lim,09266944844,luislim221@outlook.com,5090.92,2025-01-10 09:21:55,Suspended,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Savings
20218527,Guillermo,Valencia,09675770529,guillermovalencia128@hotmail.com,27826.01,2025-03-22 12:39:10,Suspended,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Savings
20214733,Fernando,Garcia,09930075810,fernandogarcia297@gmail.com,43390.94,2025-02-06 21:45:29,Suspended,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Savings
20217065,Ronald,Castillo,09481469012,ronaldcastillo215@outlook.com,46959.42,2025-03-04 22:01:54,Active,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Business
20218573,Carmen,Aguilar,09507437181,carmenaguilar277@icloud.com,34388.41,2025-03-23 19:59:14,Active,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Savings
20222084,Margarita,Gonzales,09326541099,margaritagonzales936@icloud.com,17104.54,2025-03-05 15:16:58,Closed,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Business
20215339,Ernesto,Yu,09249926919,ernestoyu253@icloud.com,14611.6,2025-02-26 18:11:02,Closed,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Business
20213266,Josefina,Castillo,09647099690,josefinacastillo506@gmail.com,43124.59,2025-01-15 20:08:45,Inactive,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Savings
20217912,Ricardo,Bautista,09134126396,ricardobautista31@gmail.com,12016.71,2025-02-28 10:48:19,Active,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Savings
20224611,Maricel,Pascual,09582334538,maricelpascual604@outlook.com,38060.96,2025-01-16 12:01:59,Closed,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Savings
20214527,Guadalupe,Soriano,09919795579,guadalupesoriano345@gmail.com,19306.4,2025-02-04 20:28:57,Suspended,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Savings
20229785,Concepcion,De Leon,09234031070,concepcionde leon997@hotmail.com,27826.01,2025-03-22 12:39:10,Suspended,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Savings
20212654,Fernando,Garcia,09508157429,fernandogarcia285@hotmail.com,42037.3,2025-01-16 19:00:41,Suspended,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Business
20222169,Trinidad,Chavez,09754049436,trinidadchavez651@yahoo.com,36998.09,2025-01-16 20:45:19,Closed,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Business
20216313,Danilo,Velasco,09924970419,danilovelasco795@gmail.com,41179.23,2025-03-20 03:53:33,Suspended,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Savings
20214456,Josefina,Velasco,09709004943,josefinavelasco898@outlook.com,32944.21,2025-02-08 09:53:20,Closed,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Savings
20215040,Francisco,Valencia,09899925830,franciscovalencia575@icloud.com,37603.68,2025-02-11 14:19:23,Closed,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Checking
20219348,Reynaldo,Mercado,09629908599,reynaldomercado94@gmail.com,8065.65,2025-01-16 12:47:06,Closed,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Savings
